xcoord,ycoord,longitude,latitude
855135.4330037334,913591.8230499522,136.89293501286605,78.51990108070126
854145.8074591783,914325.4180635011,136.94897584412115,78.52117807625731
852562.4065879463,913605.416099786,136.97949204245123,78.53582530960307
850385.2303900378,911431.8171588058,136.98449265464572,78.56385188944067
848603.9044099319,910344.327494434,137.010300179891,78.58217725374956
847218.4286476293,910342.947106671,137.0569492397708,78.59079493760274
845832.9528853263,910633.5963556413,137.11283289217647,78.5974547269856
844447.4771230225,911216.2752413453,137.17793845541567,78.6021512336767
843259.9264696212,912344.2842286812,137.2534697244365,78.60195767360887
842270.3009251221,914017.6233176488,137.3393284215188,78.59686593856857
839796.2370638661,913404.5277995984,137.40415644438613,78.61625349564838
835837.7348858531,910504.9976745306,137.44826794258276,78.66013679481105
832473.0080345455,910754.5374567917,137.57120191583348,78.67918103545297
829702.0565099432,914153.1471463823,137.77254311083195,78.67328461844913
827030.0675397879,914873.4858306262,137.88695492093106,78.68477218091601
824457.04112408,912915.5535095239,137.91470386830227,78.71374691898903
820102.6887282694,912048.3227218072,138.03850943695136,78.74620126677506
817034.8495403127,912160.0580946414,138.1487398952558,78.764127981439
813967.010352356,912271.7934674757,138.25932443415263,78.78201375976927
811443.465213875,912068.5364444609,138.3413486527708,78.79870664533382
808919.9200753942,911865.279421446,138.42361905217692,78.81537710342441
804961.4178973846,910828.7805837176,138.5307772134509,78.84638665799882
801629.1260684778,908318.0412427152,138.5702336007365,78.88366880965191
798923.044588674,904333.0613984388,138.5413677073975,78.92725181501369
796448.9807274161,901655.6028985104,138.5452472026277,78.96049658952253
794206.9344847046,900285.6657429303,138.58215932086,78.98340015642998
790215.9972842926,898859.8911086459,138.68028061766637,79.01722291407843
787346.0832052364,898119.0850521518,138.7602146624326,79.03957492204583
784476.1691261801,897378.2789956575,138.84047717232394,79.06190643760716
779824.9290670202,896670.5454675802,138.98685958058823,79.09466216814609
776262.2771068129,896736.6905244137,139.1188195944983,79.11550936611509
773194.4379188565,896078.8568789439,139.21026398785455,79.1383543083162
770621.4115031507,894697.0445311707,139.26098652220358,79.16323406557174
767652.5348696447,894352.9253484978,139.3594223308708,79.1832774031332
764287.8080183384,895046.4993309246,139.50570509676584,79.1984377435213
759339.6802958286,894817.1363132,139.68214374327147,79.22930084237177
756073.9159989718,894240.9863042615,139.7857358817876,79.2525759427993
752808.1517021152,893664.8362953229,139.889779895443,79.27581680837667
748057.9490885057,893820.5924464352,140.07330241540998,79.30260601872588
745089.0724550004,895284.4047665367,140.23151017973592,79.3097109389992
741690.6275491931,895816.0500838999,140.37695330298942,79.32578878765095
737862.6143710838,895415.5283985245,140.50994465340008,79.35085835515606
735444.5731031571,898481.0318526931,140.6982293239271,79.34324340296142
734940.538424285,901746.7961495497,140.81932070885412,79.32306788925777
734436.5037454128,905012.5604464059,140.93995224720413,79.302845769127
733303.5374853726,908179.3621888119,141.0810842974577,79.28688674002143
732170.5712253324,911346.163931218,141.22179329203658,79.27086366819597
730408.6733841245,914414.0031191738,141.3831052118944,79.25906548062228
728646.7755429161,917481.8423071294,141.5440598745776,79.24718303993889
725918.763979439,921451.5505827251,141.768989635769,79.23421428942893
723986.536534901,923255.288758005,141.89762049906085,79.23216913026211
721239.096832529,924928.3309354781,142.05366542732023,79.23558655602508
717676.444872323,926470.6771151443,142.23738999619923,79.24442467574144
714806.5307932678,927221.4552780887,142.37092425568477,79.25501826222295
712629.3545953638,927180.6654243107,142.454186438109,79.26743309165121
710353.2158430093,926543.0763787645,142.5236831936292,79.28469797645667
707978.1145362039,925308.6881414499,142.5794427507481,79.3068226994624
704811.3127937957,921575.4471941654,142.5916169621902,79.35144804651814
702832.0617047901,918459.4003655384,142.57572386924485,79.3850154829585
