xcoord,ycoord,longitude,latitude
-1273595.9859148916,826676.7729156567,-122.9871470400209,76.09140379668483
-1274979.115570947,827266.3028487718,-122.97740003204744,76.07796392835277
-1277492.7761266783,829158.4058142784,-122.98564088761204,76.0494859202742
-1281327.4900864027,832044.9028150438,-122.99814749440011,76.00604396423098
-1284251.2383750046,835207.4380701856,-123.03779479064232,75.9681693846247
-1287174.9866636067,838369.9733253274,-123.07722656373024,75.93029114784073
-1290098.7349522084,841532.508580469,-123.1164445292296,75.89240931688381
-1293022.4832408105,844695.0438356108,-123.15545038495355,75.8545239541737
-1295946.2315294123,847857.5790907525,-123.19424581118597,75.81663512155286
-1298869.9798180144,851020.1143458942,-123.23283247090176,75.7787428802939
-1301970.337622215,854403.0201596771,-123.27442615728972,75.7384121501391
-1305070.6954264154,857785.9259734598,-123.31578291117413,75.69807743428876
-1308171.053230616,861168.8317872429,-123.35690470855467,75.6577388068669
-1311271.4110348169,864551.7376010257,-123.39779350401083,75.61739634127902
-1314371.768839017,867934.6434148087,-123.43845123098428,75.57705011022209
-1317472.1266432176,871317.5492285915,-123.47887980205672,75.53670018569385
-1320572.484447418,874700.4550423744,-123.51908110922388,75.49634663900245
-1323672.8422516189,878083.3608561573,-123.55905702416496,75.45598954077565
-1326773.2000558192,881466.2666699403,-123.59880939850824,75.41562896096987
-1329873.5578600196,884849.172483723,-123.63834006409247,75.37526496887935
-1332973.9156642202,888232.078297506,-123.67765083322428,75.33489763314483
-1336086.1409929604,891715.6871317966,-123.71949629307947,75.29393120206845
-1339198.3663217004,895199.2959660871,-123.76110678914982,75.25296068604808
-1342310.5916504404,898682.9048003779,-123.80248425136467,75.21198616158028
-1345422.8169791803,902166.5136346684,-123.84363058906952,75.17100770443272
-1348535.0423079208,905650.1224689587,-123.88454769129252,75.13002538965394
-1351647.2676366607,909133.7313032496,-123.92523742700727,75.08903929158289
-1354759.4929654007,912617.34013754,-123.96570164539156,75.04804948385836
-1357871.718294141,916100.9489718305,-124.00594217608192,75.00705603942829
-1360983.943622881,919584.5578061213,-124.04596082942494,74.96605903055875
-1364096.168951621,923068.1666404118,-124.08575939672434,74.92505852884312
-1367222.8990325762,926674.8569442115,-124.1285918330536,74.88332096394701
-1370349.6291135312,930281.5472480118,-124.17118574279525,74.84157896950121
-1373476.3591944864,933888.2375518115,-124.2135430661998,74.79983262717097
-1376603.0892754411,937494.9278556115,-124.255665723058,74.75808201784962
-1379729.8193563963,941101.6181594115,-124.29755561296204,74.71632722166883
-1382856.5494373513,944708.3084632115,-124.33921461556344,74.67456831800858
-1385983.2795183067,948314.9987670116,-124.3806445908268,74.63280538550706
-1389110.0095992617,951921.6890708115,-124.42184737927985,74.59103850207036
-1392236.7396802169,955528.3793746115,-124.46282480226004,74.54926774488204
-1395029.3375091422,958999.409003608,-124.50620084339435,74.51067814699972
-1397821.9353380676,962470.4386326044,-124.54935873790612,74.47208321764778
-1400614.5331669927,965941.4682616008,-124.59230007871427,74.43348303282436
-1403407.1309959183,969412.4978905971,-124.63502644376511,74.39487766786874
-1406199.7288248437,972883.5275195937,-124.67753939620172,74.3562671974691
-1453988.3907856971,949269.2789194096,-123.13942166665518,74.1168674227613
-1503474.8282481844,962122.899039536,-122.61651266873317,73.67855867575379
-1542035.6886085644,1011609.3365020232,-123.2657559987044,73.14395003684682
-1574812.419914887,1085517.6521927512,-124.57848216883971,72.52745992449297
-1594092.8500950767,1126649.236577156,-125.25133737446836,72.1734640649707
-1601896.1791300538,1156982.4954212925,-125.83900401313225,71.95788160283955
-1604174.5359845464,1161179.3242130543,-125.89884274258658,71.9191950321806
-1606452.8928390387,1165376.1530048158,-125.95842178649156,71.88049313676329
-1608731.2496935313,1169572.9817965776,-126.01774270363592,71.84177605603172
-1611009.6065480239,1173769.810588339,-126.07680704154404,71.80304392837604
-1613287.9634025162,1177966.6393801009,-126.13561633656388,71.76429689114256
-1615566.3202570088,1182163.4681718624,-126.19417211395339,71.72553508064333
-1617844.677111501,1186360.296963624,-126.25247588796702,71.686758632166
-1620123.0339659937,1190557.1257553855,-126.3105291619412,71.64796767998341
-1622401.390820486,1194753.9545471475,-126.3683334283794,71.60916235736309
-1624539.0187576637,1199088.0442179383,-126.43139533792734,71.57062755510977
-1626676.6466948416,1203422.1338887298,-126.49418961438835,71.53207493525332
-1628814.2746320195,1207756.223559521,-126.55671780800252,71.49350465139561
