xcoord,ycoord,longitude,latitude
-808917.694571687,1881667.1550708576,-156.73741395429792,71.31011157552729
-805167.0955948252,1878850.834184276,-156.8028184985795,71.34659878833375
-801416.4966179635,1876034.5132976952,-156.8684837567459,71.38306567887659
-797665.8976411017,1873218.1924111135,-156.9344111172497,71.41951208960927
-793915.2986642402,1870401.8715245328,-157.00060197687355,71.45593786190075
-790164.6996873786,1867585.550637952,-157.06705774077426,71.49234283602674
-786414.1007105167,1864769.2297513704,-157.13377982252743,71.52872685116084
-782663.501733655,1861952.9088647892,-157.2007696441717,71.56508974536551
-778912.9027567933,1859136.587978208,-157.26802863625304,71.6014313555831
-775162.3037799315,1856320.2670916268,-157.33555823786935,71.63775151762675
-771411.7048030697,1853503.9462050456,-157.40335989671456,71.67405006617116
-767661.1058262081,1850687.6253184648,-157.47143506912286,71.7103268347434
-763910.5068493462,1847871.304431884,-157.539785220113,71.74658165571358
-760159.9078724846,1845054.983545302,-157.60841182343253,71.78281436028536
-756409.3088956228,1842238.6626587207,-157.67731636160167,71.81902477848658
-752539.3900839317,1839277.5577480325,-157.74810341001844,71.8568224988477
-748669.4712722405,1836316.452837344,-157.81919073368203,71.89459668012024
-744799.5524605492,1833355.3479266556,-157.89058002702697,71.93234713216619
-740929.6336488579,1830394.2430159664,-157.96227299516335,71.97007366345369
-737059.7148371667,1827433.1381052777,-158.03427135393468,72.00777608104505
-733189.7960254757,1824472.0331945897,-158.1065768299757,72.04545419058462
-729319.8772137844,1821510.9282839007,-158.17919116076996,72.08310779628668
-725449.9584020929,1818549.823373212,-158.2521160947074,72.1207367009233
-721580.0395904019,1815588.718462524,-158.32535339114185,72.15834070581165
-717710.1207787107,1812627.6135518353,-158.3989048204481,72.19591961080185
-713840.2019670195,1809666.5086411464,-158.4727721640795,72.2334732142642
-709970.2831553281,1806705.4037304576,-158.5469572146245,72.27100131307654
-706100.3643436371,1803744.2988197687,-158.62146177586388,72.3085037026115
-702230.4455319459,1800783.1939090807,-158.69628766282725,72.34598017672356
-698360.5267202547,1797822.088998392,-158.77143670184932,72.38343052773598
-694490.6079085635,1794860.9840877035,-158.84691073062655,72.42085454642779
-690620.6890968721,1791899.8791770148,-158.9227115982728,72.4582520220205
-686750.770285181,1788938.774266326,-158.99884116537515,72.49562274216476
-682880.8514734898,1785977.6693556376,-159.0753013040496,72.53296649292696
-679010.9326617985,1783016.5644449487,-159.15209389799583,72.5702830587756
-675141.0138501073,1780055.4595342604,-159.22922084255265,72.6075722225677
-671271.0950384161,1777094.3546235715,-159.306684044752,72.64483376553491
-667401.1762267249,1774133.249712883,-159.38448542337355,72.6820674672698
-663531.2574150336,1771172.1448021943,-159.4626269089984,72.71927310571165
-659661.3386033424,1768211.0398915058,-159.5411104440626,72.75645045713239
-655791.4197916512,1765249.9349808171,-159.6199379829102,72.79359929612247
-651921.50097996,1762288.8300701287,-159.6991114918458,72.83071939557635
-648181.8756238071,1759388.0745751439,-159.7755342831697,72.86689475982568
-644442.2502676541,1756487.319080159,-159.85228504665892,72.90304325451397
-640702.6249115012,1753586.563585174,-159.92936562089173,72.93916467025106
-636962.9995553482,1750685.8080901897,-160.0067778555064,72.97525879610058
-633223.3741991953,1747785.052595205,-160.08452361124898,73.011325419567
-629483.7488430423,1744884.29710022,-160.16260476002083,73.04736432658265
-625744.1234868894,1741983.5416052353,-160.24102318492578,73.08337530149447
-622004.4981307365,1739082.7861102505,-160.31978078031662,73.11935812705077
-618264.8727745836,1736182.0306152657,-160.39887945184137,73.155312584388
-614525.2474184305,1733281.275120281,-160.47832111648887,73.19123845301709
-610785.6220622776,1730380.5196252964,-160.55810770263415,73.22713551080997
-607045.9967061247,1727479.7641303116,-160.6382411500827,73.26300353398602
-603306.3713499716,1724579.0086353268,-160.7187234101151,73.29884229709806
-599566.7459938189,1721678.253140342,-160.79955644552993,73.3346515730187
-599345.0439371996,1720406.9318693615,-160.7929917740148,73.3461360670013
-598495.5742105868,1719177.4959071707,-160.80550996850607,73.35912619836121
-597018.3368139804,1717989.9452537694,-160.8371598093335,73.37361852050597
-596553.2205627348,1715614.8439469673,-160.8264255908731,73.39522933601205
-597100.2254568504,1712052.1919867648,-160.77312527941484,73.42395292777084
-597117.3842070093,1709631.0968137884,-160.7473870137019,73.44452074805201
-596604.6968132121,1708351.5584280384,-160.7493535569006,73.45694219507642
-595655.6152351629,1707496.5063732325,-160.7688101222994,73.46704586609091
-594270.1394728618,1707065.940649371,-160.8057809151811,73.4748265133454
-591521.2337234173,1704736.833208742,-160.86389919442084,73.50281481295286
-589465.0658551233,1702623.0086300443,-160.9036363159011,73.52690888693785
-587408.8979868293,1700509.1840513465,-160.94349139124648,73.55099652839169
-584294.2843578696,1698197.434363748,-161.0133326663533,73.57987594335667
-582177.3928365384,1697801.5841459483,-161.0731212371974,73.58945937633364
-580386.833897887,1696515.0709380968,-161.1139096339877,73.6056775621972
-578922.6075419156,1694337.8947401943,-161.13569094391903,73.62854277055578
-576198.4304583194,1691903.3127123723,-161.19309433545203,73.65727481873506
-572214.3026470984,1689211.3248546305,-161.28637319410169,73.69184471307581
-570058.126375718,1687380.5175973035,-161.33317286864175,73.71373461052765
-567901.9501043377,1685549.7103399767,-161.3801001357438,73.73561490301158
-565581.6614671875,1683234.089754194,-161.42719247635446,73.76210599255161
