xcoord,ycoord,longitude,latitude
1056821.5955624687,-452535.5405078,66.8191832330549,79.44787464075853
1056326.2870424152,-450759.2486342657,66.89091846498327,79.45840614297198
1058701.4011213055,-447759.99822859146,67.07488322718466,79.44915566905398
1061967.171804206,-446606.388499215,67.19099119638618,79.42577842729315
1066123.5990911152,-447298.4194461364,67.23922851288647,79.38835135621831
1070378.9889324743,-447108.16805260815,67.32921099779679,79.35319235240817
1074733.3413282828,-446035.63431863015,67.4605813692981,79.32026468917405
1079582.506496343,-445784.5025356461,67.56314124447744,79.2802492134085
1082254.4954664987,-446069.637619651,67.60015730047684,79.25671417431606
1084926.4844366543,-446354.77270365594,67.63701060641334,79.23317556908249
1087351.0670206845,-447208.04185062373,67.64351110580822,79.20975090454041
1089775.6496047147,-448061.3109975917,67.64998328265449,79.18632697111225
1091952.82580262,-449482.7142075226,67.62636696884317,79.16301954009828
1094130.002000525,-450904.1174174536,67.60285260516572,79.13971115012802
1097494.7288518322,-451865.85152423073,67.62181754720983,79.10798217987366
1099869.8301586371,-450946.5133179232,67.70637606020445,79.09112551887692
1101215.753158369,-448257.8626501862,67.85086257197705,79.0890347996671
1101532.4978510272,-443799.89952101966,68.05583205007919,79.10162360939408
1100737.7456478942,-440284.40474858414,68.19907036038089,79.12030262884603
1098831.4965489695,-437711.3783328799,68.28050184923092,79.1451602601208
1097660.1628285563,-435435.23958052613,68.36206765151843,79.16276455153012
1097223.744486654,-433455.98849152325,68.4436036956199,79.17311495729619
1097233.500658396,-430338.668026344,68.58472145268503,79.18345100484787
1097243.256830138,-427221.3475611647,68.72610985540126,79.19372185360565
1097401.7378397617,-423724.67063726,68.88761380009389,79.20390880985221
1097560.2188493847,-420227.9937133552,69.04942327167912,79.21401047370041
1097718.6998590084,-416731.3167894504,69.21153654960393,79.2240265991998
1098244.9648556663,-412426.4456708698,69.41722155794504,79.23341082056298
1098771.229852324,-408121.5745522892,69.6232648111036,79.24265696899785
1099586.038331204,-404756.84770098503,69.7913742665252,79.2463320700899
1100400.8468100843,-401392.12084968115,69.95959786684753,79.24991507468476
1100332.4534519927,-398324.2816617272,70.09956290929526,79.2600639070547
1100264.0600939016,-395256.44247377326,70.23979338472405,79.2701490486407
1099312.4648988387,-392485.49094916944,70.35200513903513,79.28685185230259
1098360.8697037755,-389714.5394245655,70.46456887972204,79.30351410345561
1098123.3759756384,-386206.06544910907,70.62340898948837,79.31622384457198
1099551.578909489,-384731.02054740407,70.71515466084836,79.30837994158931
1103927.294891073,-384832.31035244087,70.78129451549263,79.27037261505619
1107588.909405731,-385671.1226083301,70.80148297454417,79.23629790997401
1111250.523920389,-386509.93486421934,70.8215432963552,79.20222371797891
1114549.673932266,-386878.6960896469,70.8572631871947,79.17268158048914
1117848.8239441435,-387247.4573150744,70.89278756489726,79.14313666821651
1120785.5094532403,-387146.1675100401,70.9438611546963,79.11811565869024
1123722.194962337,-387044.87770500575,70.99469902307371,79.09308709179605
1124711.8205068377,-383427.6380368229,71.17514604821045,79.09524398908157
1122764.7605422416,-379911.68817367434,71.30564169983741,79.12238217038131
1120817.7005776456,-376395.73831052566,71.43679323764692,79.14946514131913
1119002.9888825207,-374107.8591649623,71.51405956474333,79.17179881382864
1117188.277187396,-371819.9800193989,71.5916469819646,79.19411361697986
1113823.5503360888,-369700.3631634429,71.63795995123593,79.22935215543137
1109568.1604947299,-368493.8412245224,71.62838209050504,79.26967850811148
1106995.1340790244,-368347.12771358015,71.59539316214175,79.29238478193389
1104422.1076633187,-368200.4142026377,71.56226324579595,79.31508832062563
1101123.8464317927,-368520.7826524067,71.4957933507007,79.34271512289875
1099673.376800151,-369454.9465738291,71.4293045245941,79.35255659434337
1098904.802878055,-371901.27962354285,71.30268869032713,79.35206943590492
1098818.1246655043,-375859.7818015479,71.11632516943901,79.34118022889501
1097959.9586101223,-378283.22766467,70.9894900272417,79.34140648923926
